"company_name","tier","category","specialty_or_focus","city, bundesland","website","decision_maker_name","decision_maker_role","email","phone","linkedin_url","goae_evidence","fit_score","outreach_angle"
"MKO - Marc Kreutz Orthopedics","2","Praxis","Orthopädie","Köln, NRW","https://marc-kreutz-orthopedics.de/","Dr. med. Marc Kreutz","Facharzt","TBD","TBD","TBD","States 'Vor jeder Behandlung erhalten Sie eine transparente Kostenaufstellung nach GOÄ'.",8,"Explicitly states transparent GOÄ cost estimates for self-pay patients."
"M.O.S. Medical Office Service","1","Abrechnungsstelle","Privatliquidation","Trostberg, Bayern","https://www.medical-officeservice.de/","Lisa Wolfersberger","Inhaberin","TBD","08686 98 49 830","TBD","States goal is 'Rechtssicherheit Ihrer GOÄ-Abrechnung zu erhöhen.'",8,"Focuses on increasing legal security of GOÄ billing for clinics and physicians."
"Praxisberatung Edler","3","Beratung","GOÄ/EBM Optimierung","Heidesee, Brandenburg","https://www.praxisberatung-edler.de/","Bianka Edler","Inhaberin","edler@praxisberatung-edler.de","0151 55246728","TBD","Newsletter offers 'aktuelle Änderungen in GOÄ/EBM und praxiserprobte' tips.",8,"Direct GOÄ/EBM optimization consultant; can refer Azmoth to multiple client practices."
"Privatpraxis Dr. Dr. Georg-Friedemann Rust","2","Praxis","Radiologie/Kardiologie","München, Bayern","https://www.prirad.de/","Dr. Dr. Georg-Friedemann Rust","Facharzt","TBD","TBD","TBD","Listed as 'Ihre Privatpraxis für Radiologie & Kardiologie im Zentrum Münchens'.",7,"Combined radiology & cardiology private practice in Munich city center."
"RheinKardio Gemeinschaftspraxis","2","Praxis","Kardiologie","Köln, NRW","https://rheinkardio.de/","Dr. med. Martin Madeja","Facharzt","TBD","TBD","TBD","States 'Ihre Privatpraxis für Kardiologie in Köln; Privatkassen und Beihilfe sowie Selbstzahler'.",7,"Explicitly serves private insurance, Beihilfe, and self-pay patients in cardiology."
"PVS Limburg","1","Abrechnungsstelle","multi-specialty PVS","Limburg a.d. Lahn, Hessen","https://www.pvs-limburg.de/","TBD","Geschäftsführung","TBD","TBD","TBD","Listed as 'Privatärztliche Verrechnungsstelle für Ärzte & Praxen'.",7,"Regional PVS handling GOÄ for local physicians and practices."
"PVN Schmidbauer","1","Abrechnungsstelle","multi-specialty PVS","Landshut, Bayern","https://www.pvn-schmidbauer.de/","Schmidbauer","Inhaber e.K.","TBD","TBD","TBD","Listed as 'Privatärztliche Verrechnungsstelle Niederbayern'.",7,"Dedicated private physician billing service for the Lower Bavaria region."
"Ärztliche Verrechnungsstelle Büdingen GmbH","1","Abrechnungsstelle","multi-specialty PVS","Büdingen, Hessen","https://www.buedingen-med.de/","TBD","Geschäftsführung","TBD","TBD","TBD","Formerly PVS Büdingen, processes ~2M invoices/year with strong GOÄ focus.",7,"Formerly PVS Büdingen, processes ~2M invoices/year with strong GOÄ focus."
"PVS Baden-Württemberg eG","1","Abrechnungsstelle","multi-specialty PVS","Stuttgart, Baden-Württemberg","https://www.pvs-verband.de/","TBD","Vorstand","TBD","TBD","TBD","Listed in PVS Verband as 'Privatärztliche Verrechnungsstelle Baden-Württemberg eG'.",7,"Major regional PVS cooperative serving thousands of physicians in Baden-Württemberg."
"dgpar GmbH","1","Abrechnungsstelle","Privatliquidation","München, Bayern","https://www.dgpar.de/","TBD","Geschäftsführung","TBD","TBD","TBD","Advertises 'Privatärztlicher Abrechnungsservice von der dgpar GmbH'.",7,"Advertises dedicated private physician billing service with GOÄ optimization focus."
"privadis GmbH","1","Abrechnungsstelle","Privatliquidation","Hannover, Niedersachsen","https://www.privadis.de/","TBD","Geschäftsführung","TBD","TBD","TBD","Ratgeber section covers 'Privatabrechnung Ihrer ärztlichen Leistungen – GOÄ'.",7,"Provides dedicated GOÄ private billing services and advisory content."
"Verrechnungsstelle für Ärzte Oswald","1","Abrechnungsstelle","multi-specialty PVS","München, Bayern","https://verrechnungsstelle.de/","TBD","Geschäftsführung","TBD","TBD","TBD","States 'über 50 Jahren Erfahrung in der privatärztlichen Abrechnung aller Heilberufe nach GOÄ'.",7,"50+ years experience in private physician billing according to GOÄ."
"PVS Südwest","1","Abrechnungsstelle","multi-specialty PVS","Bruchsal, Baden-Württemberg","https://www.kinderaerzte-im-netz.de/.../pvs-sudwest.html","TBD","Geschäftsführung","TBD","TBD","TBD","Listed as 'Privatärztliche Verrechnungsstelle PVS Südwest'.",7,"Regional PVS explicitly listed for private physician billing support."
"ETL ADVISION GmbH","3","Beratung","Steuer-/Praxisberatung","Berlin, Berlin","https://www.etl-advision.de/","TBD","Geschäftsführung","TBD","TBD","TBD","States 'marktführende Steuerberatung im Gesundheitswesen... für Ärzte'.",7,"Market-leading tax/practice consulting for physicians, advises on GOÄ optimization."
"ETL ADVISION Hamburg GmbH","3","Beratung","Steuer-/Praxisberatung","Hamburg, Hamburg","https://www.advision-hamburg.de/","TBD","Geschäftsführung","TBD","TBD","TBD","Regional branch advising medical practices on revenue and GOÄ compliance.",7,"Regional branch advising medical practices on revenue and GOÄ compliance."
"ETL ADVIMED RINKE GmbH","3","Beratung","Steuer-/Praxisberatung","München, Bayern","https://www.etl-advimed-rinke.eu/","TBD","Geschäftsführung","TBD","TBD","TBD","Mandants include physicians; advises on healthcare billing optimization.",7,"Specialized healthcare consulting firm with strong GOÄ advisory services."
"Fleming Praxisberatung","3","Beratung","Praxismanagement","Hamburg, Hamburg","https://fleming.de/","TBD","Geschäftsführung","TBD","TBD","TBD","Publishes guides on 'EBM, GOÄ und private Abrechnungen verständlich und praxisnah'.",7,"Publishes guides on EBM, GOÄ, and private billing explained in a practical way."
"Virchowbund Praxisberatung","3","Beratung","Rechts-/Praxisberatung","Berlin, Berlin","https://www.virchowbund.de/","TBD","Geschäftsführung","TBD","TBD","TBD","Provides monthly 'Abrechnungstipps für GOÄ' and protects practices from audits.",7,"Provides monthly GOÄ billing tips and protects practices from billing audits."
"ifap praxis center","3","Beratung","Praxissoftware/-beratung","München, Bayern","https://www.pbv-aerzte.de/der-pbv/kooperationspartner/","TBD","Geschäftsführung","TBD","TBD","TBD","PBV partner helping practices achieve 'Ihr GOÄ-Optimum'.",7,"Partner of PBV, helps practices achieve their GOÄ optimum through consulting."
"PBV - Privatärztlicher Bundesverband e.V.","3","Beratung","Interessenvertretung","Berlin, Berlin","https://www.pbv-aerzte.de/","Dr. med. Norbert A. Franz","Vorstandsvorsitzender","TBD","TBD","TBD","News: 'BÄK veröffentlicht neuen Entwurf der Gebührenordnung für Ärzte (GOÄ)'.",7,"Peak organization for private physicians; actively shapes and advises on GOÄ updates."
"Arzt & Wirtschaft (Praxiswissen)","3","Beratung","Praxisberatung","München, Bayern","https://www.arzt-wirtschaft.de/","TBD","Redaktion/Consulting","TBD","TBD","TBD","Advises practices on 'Abrechnung nach GOÄ und Privatpraxis'.",6,"Consults practices specifically on GOÄ billing and private practice setup."
"Consanitas \| Praxisberatung & Schulungen","3","Beratung","Praxisberatung","Berlin, Berlin","TBD","TBD","Inhaberin","TBD","TBD","TBD","Social media tags include '#GOÄ #Abrechnungsoptimierung #Privatpraxis'.",6,"Offers targeted GOÄ/EBM training and practice management optimization."
"Privatpraxis für Kardiologie Kosttor","2","Praxis","Kardiologie","München, Bayern","https://www.privatpraxis-kosttor.de/","TBD","Facharzt","TBD","TBD","TBD","Listed as 'Privatpraxis für Kardiologie in München' for private patients.",6,"Dedicated private cardiology practice serving self-pay and private insurance patients."
"Sportkardiologie Prof. Dr. med. Axel Preßler","2","Praxis","Sportkardiologie","München, Bayern","https://www.sportkardiologie.de/","Prof. Dr. med. Axel Preßler","Facharzt","TBD","TBD","TBD","Listed as 'sportkardiologischen Privatpraxis in München-Bogenhausen'.",6,"University-level sports cardiology private practice with high-value GOÄ procedures."
"Kardiopraxis Berlin (Dr. med. univ. Moser)","2","Praxis","Kardiologie","Berlin, Berlin","https://www.kardiopraxis-berlin.de/","Dr. med. univ. Moser","Facharzt","TBD","TBD","TBD","States 'In meiner Privatpraxis biete ich Ihnen ein umfassendes Angebot'.",6,"Private cardiology practice in Berlin-Mitte focusing on prevention and private billing."
"Kardiologie im Zentrum (KIZ)","2","Praxis","Kardiologie","München, Bayern","https://www.kardiologie-im-zentrum.de/","Prof. Dr. med.","Facharzt","TBD","TBD","TBD","Listed as 'Kassen- und Privatpraxis' with advanced cardiac imaging.",6,"Operates as private practice with advanced cardiac imaging (high GOÄ value).",6
"Privatpraxis für Radiologie Raboisen","2","Praxis","Radiologie","Hamburg, Hamburg","https://www.radiologiehamburg.de/","Dr. Finkenstaedt","Facharzt","TBD","TBD","TBD","Listed as 'Privatpraxis für Radiologie' with direct private insurance billing.",6,"Private radiology practice offering MRT/CT, explicitly billing private insurers directly."
"Praxis NY Höfe","2","Praxis","Innere Medizin/Kardiologie","München, Bayern","https://www.kardiologie-ny-hoefe.de/","TBD","Facharzt","TBD","TBD","TBD","Listed as 'Ihre Privatpraxis für Innere Medizin & Kardiologie in München'.",6,"Highly rated private practice for internal medicine and cardiology in Munich."
"Privatpraxis Dr. med. Ulrich Hölzenbein","2","Praxis","Innere Medizin/Kardiologie","München, Bayern","https://privatpraxis-hoelzenbein.de/","Dr. med. Ulrich Hölzenbein","Facharzt","TBD","TBD","TBD","Listed as 'Internistische und kardiologische Privatpraxis im Herzen der Münchner Altstadt'.",6,"Chief physician-level expertise in a dedicated internal medicine/cardiology private practice."
"Nina M. Buck - Privatpraxis für Orthopädie","2","Praxis","Orthopädie/Osteopathie","München, Bayern","https://ortho-buck.de/","Nina M. Buck","Fachärztin","TBD","TBD","TBD","Doctolib listing states 'Nur privat Versicherte oder Selbstzahlende'.",6,"Explicitly states 'Only private insured or self-paying' in orthopedics/osteopathy."
